ECON 541 lecture,"['MW 4-5:50p']"
ECON 555 lecture,"['MW 12-1:50p']"
ECON 566 lecture,"['TR 2-3:50p']"
ED 216 lecture,"['TR 10-11:20a', 'T 5:30-8:20p']"
ED 219 lecture,"['M 5-7:50p', 'WF 12-1:20p']"
ED 253 lecture,"['R 4-6:50p']"
ED 427 lecture,"['R 4-5:50p']"
ED 456 lecture,"['M 12-2:50p']"
ED 457 lecture,"['W 2-4:50p']"
ED 493 lecture,"['T 4-5:50p']"
ED 622 lecture,"['R 4-6:50p']"
ED 651 lecture,"['T 4-6:50p']"
ENG 104 lecture,"['MWF 1-1:50p', 'TR 12-1:20p']"
ENG 109 lecture,"['TR 10-11:20a']"
ENG 205 lecture,"['TR 2-3:50p']"
ENG 214 lecture,"['MW 10-11:50a']"
ENG 302 lecture,"['TR 2-3:50p']"
ENG 320 lecture,"['MW 2-3:50p']"
ENG 345 lecture,"['MW 8-9:50a']"
ENG 465 lecture,"['TR 10-11:50a']"
ENG 485 lecture,"['MW 10-11:50a']"
ENG 530 lecture,"['MW 12-1:50p']"
ENG 565 lecture,"['TR 10-11:50a']"
ENG 585 lecture,"['MW 10-11:50a']"
ENGR 100 lecture,"['MF 2-2:50p', 'MF 4-4:50p']"
ENGR 103 lecture,"['MW 10-10:50a', 'MF 2-2:50p']"
ENGR 201 lecture,"['TR 10-10:50a', 'MW 9-9:50a']"
ENGR 202 lecture,"['TR 9-9:50a']"
ENGR 211 lecture,"['MW 3-3:50p']"
ENGR 212 lecture,"['MWF 8-8:50a']"
ENGR 213 lecture,"['TR 8:30-9:50a']"
ENGR 248 lecture,"['TR 1-1:50p']"
ENGR 390 lecture,"['TR 10-11:20a']"
ENGR 415 lecture,"['MW 4-5:50p']"
ENGR 520 lecture,"['T 8-8:50a', 'T 12-12:50p']"
ENGR 521 lecture,"['W 8-8:50a', 'W 12-12:50p']"
ENGR 555 lecture,"['TR 12-1:20p']"
ENSC 452 lecture,"['TR 8:30-9:50a']"
ENSC 520 lecture,"['F 2-4:50p']"
ENVE 322 lecture,"['MWF 1-1:50p']"
ENVE 415 lecture,"['T 4-5:50p']"
ENVE 541 lecture,"['TR 2-3:50p']"
ES 101 lecture,"['TR 8:30-9:50a', 'TR 10-11:20a']"
ES 201 lecture,"['TR 12-1:20p']"
ES 211 lecture,"['MW 10-11:50a']"
ES 213 lecture,"['MW 2-3:50p']"
ES 350 lecture,"['MW 12-1:50p']"
ES 444 lecture,"['TR 12-1:50p']"
ES 544 lecture,"['TR 12-1:50p']"
FE 102 lecture,"['M 12-1:50p']"
FE 257 lecture,"['MW 2-2:50p']"
FE 315 lecture,"['MW 4-5:20p']"
FE 415 lecture,"['TR 8-8:50a']"
FE 436 lecture,"['TR 8-9:20a']"
FE 440 lecture,"['MW 11-11:50a']"
FE 459 lecture,"['M 8-9:50a']"
FE 470 lecture,"['MWF 3-3:50p']"
FE 480 lecture,"['M 4-4:50p']"
FE 515 lecture,"['TR 8-8:50a']"
FE 536 lecture,"['TR 8-9:20a']"
FE 540 lecture,"['MW 11-11:50a']"
FE 570 lecture,"['MWF 3-3:50p']"
FE 640 lecture,"['MF 4-5:20p']"
FES 422 lecture,"['TR 2-3:20p']"
FES 452 lecture,"['MWF 9-9:50a']"
FES 485 lecture,"['TR 12-1:20p']"
FES 521 lecture,"['TR 9-10:20a']"
FES 522 lecture,"['TR 2-3:20p']"
FES 524 lecture,"['TR 10-11:20a']"
FES 585 lecture,"['TR 12-1:20p']"
FES 599 lecture,"['T 4-4:50p']"
FES 699 lecture,"['W 12-12:50p']"
FILM 125 lecture,"['TR 2-3:20p; T 6-9:50p']"
FILM 265 lecture,"['TR 10-11:20a; R 6-9:50p']"
FIN 341 lecture,"['TR 12-1:50p', 'TR 2-3:50p']"
FIN 442 lecture,"['TR 8-9:50a']"
FIN 461 lecture,"['TR 2-3:50p']"
FIN 462 lecture,"['TR 4-5:50p']"
FIN 463 lecture,"['TR 2-3:50p']"
FIN 464 lecture,"['TR 4-5:50p']"
FIN 542 lecture,"['R 8-10:50a']"
FIN 546 lecture,"['T 8-10:50a']"
FOR 322 lecture,"['MW 1-1:50p']"
FOR 459 lecture,"['M 8-9:50a']"
FOR 460 lecture,"['TR 12-1:20p']"
FOR 524 lecture,"['TR 2-3:20p']"
FOR 528 lecture,"['M 2-3:50p']"
FR 112 lecture,"['MTRF 9-9:50a']"
FR 212 lecture,"['MTRF 1-1:50p']"
FR 312 lecture,"['TR 4-5:20p']"
FR 339 lecture,"['TR 12-1:20p']"
FST 212 lecture,"['MW 11-11:50a']"
FST 420 lecture,"['TR 12-1:20p']"
FST 423 lecture,"['MWF 1-1:50p']"
FST 461 lecture,"['M 10-10:50a']"
FST 466 lecture,"['MWF 3-3:50p']"
FST 473 lecture,"['MWF 2-2:50p']"
FST 499 lecture,"['MW 8-8:50a']"
FST 520 lecture,"['TR 12-1:20p']"
FST 523 lecture,"['MWF 1-1:50p']"
FST 561 lecture,"['M 10-10:50a']"
FST 566 lecture,"['MWF 3-3:50p']"
FST 573 lecture,"['MWF 2-2:50p']"
FST 599 lecture,"['T 12-1:50p']"
FW 209 lecture,"['M 4-4:50p']"
FW 307 lecture,"['T 4-6:20p']"
FW 317 lecture,"['TR 12-1:20p']"
FW 320 lecture,"['TR 10-11:20a']"
FW 435 lecture,"['TR 12-1:20p']"
FW 452 lecture,"['MWF 9-9:50a']"
FW 473 lecture,"['MW 10-11:20a']"
FW 488 lecture,"['TR 10-11:20a']"
FW 535 lecture,"['TR 12-1:20p']"
FW 599 lecture,"['T 4-4:50p']"
GD 269 lecture,"['TR 8-9:20a']"
GEO 100 lecture,"['TR 2-3:20p']"
GEO 315 lecture,"['MW 12-12:50p; SU 8a-4:50p; F 4-7:50p']"
GEO 331 lecture,"['MWF 2-2:50p']"
GEO 370 lecture,"['MWF 3-3:50p']"
GEO 380 lecture,"['MWF 1-1:50p']"
GEO 430 lecture,"['MWF 9-9:50a']"
GEO 433 lecture,"['TR 12-1:20p']"
GEO 484 lecture,"['MWF 9-9:50a']"
GEO 486 lecture,"['TR 12-1:20p']"
GEO 530 lecture,"['MWF 9-9:50a']"
GEO 533 lecture,"['TR 12-1:20p']"
GEOG 105 lecture,"['MW 4-4:50p']"
GEOG 201 lecture,"['TR 8:30-9:50a']"
GEOG 203 lecture,"['TR 12-1:20p']"
GEOG 314 lecture,"['TR 12-1:20p']"
GEOG 332 lecture,"['TR 2-3:20p']"
GEOG 360 lecture,"['TR 12-1:20p']"
GEOG 361 lecture,"['MW 12-1:20p']"
GEOG 423 lecture,"['MWF 9-9:50a']"
GEOG 433 lecture,"['MWF 1-1:50p']"
GEOG 440 lecture,"['TR 10-11:20a']"
GEOG 452 lecture,"['TR 8:30-9:50a']"
GEOG 481 lecture,"['TR 8:30-9:50a']"
GEOG 512 lecture,"['R 4-6:50p']"
GEOG 523 lecture,"['MWF 9-9:50a']"
GEOG 533 lecture,"['MWF 1-1:50p']"
GEOG 540 lecture,"['TR 10-11:20a']"
GEOG 552 lecture,"['TR 8:30-9:50a']"
GEOG 561 lecture,"['MW 10-11:20a']"
GEOG 581 lecture,"['TR 8:30-9:50a']"
GER 112 lecture,"['TR 12-1:50p']"
GER 399 lecture,"['MTWR 9-9:50a']"
GRAD 520 lecture,"['T 4-5:50p']"
GRAD 561 lecture,"['W 2-4:50p']"
H 220 lecture,"['TR 2-3:20p']"
H 225 lecture,"['MW 12-1:50p', 'TR 10-11:50a']"
H 250 lecture,"['MW 10-11:20a']"
H 312 lecture,"['TR 10-11:20a', 'TR 4-5:20p']"
H 319 lecture,"['TR 10-11:20a']"
H 320 lecture,"['W 4-6:50p']"
H 332 lecture,"['TR 2-3:20p']"
H 344 lecture,"['TR 2-3:20p']"
H 376 lecture,"['TR 12-1:20p']"
H 385 lecture,"['TR 12-1:20p']"
H 434 lecture,"['MW 1-2:20p']"
H 436 lecture,"['TR 8:30-9:50a']"
H 445 lecture,"['T 4-6:50p']"
H 448 lecture,"['W 4-6:50p']"
H 476 lecture,"['TR 4-5:50p']"
H 494 lecture,"['M 4-6:50p']"
H 512 lecture,"['TR 12-1:20p']"
H 515 lecture,"['R 4-6:50p']"
H 524 lecture,"['TR 10-11:20a']"
H 525 lecture,"['TR 12-1:20p']"
H 528 lecture,"['T 4-6:50p']"
H 534 lecture,"['MW 1-2:20p']"
H 537 lecture,"['TR 2-3:20p']"
H 538 lecture,"['TR 8:30-9:50a']"
