ST531 lecture,"['TR 2-3:20p']"
ST541 lecture,"['TR 10-11:20a']"
ST551 lecture,"['MWF 11-11:50a']"
ST561 lecture,"['MWF 8-8:50a']"
ST623 lecture,"['TR 4-5:20p']"
GRAD560 lecture,"['R 1-3:50p']"
ALS140 lecture,"['MWF 3-4:50p', 'MWF 3-4:50p']"
ALS141 lecture,"['MWF 8-9:50a', 'MWF 8-9:50a']"
ALS150 lecture,"['MTRF 8-9:20a', 'MWF 8-9:50a']"
ALS151 lecture,"['MTWR 4-5:20p', 'MWF 4-5:50p', 'TR 2-4:50p']"
ALS162 lecture,"['MWF 8-9:50a', 'TR 8-10:50a']"
ALS165 lecture,"['MWF 12-1:50p', 'MWF 8-9:50a', 'MWF 3-4:50p', 'MWF 10-11:50a']"
ALS166 lecture,"['TR 10a-12:50p', 'MWF 10-11:50a', 'MWF 12-1:50p']"
ALS174 lecture,"['MWF 3-4:50p']"
GEO101 lecture,"['TR 2-3:20p']"
GEO201 lecture,"['MWF 1-1:50p']"
GEO295 lecture,"['MTWRFSU 8a-5p']"
GEO307 lecture,"['MWF 10-10:50a']"
GEO308 lecture,"['MWF 3-3:50p']"
GEO310 lecture,"['TR 10-10:50a']"
GEO322 lecture,"['MWF 11-11:50a']"
GEO481 lecture,"['MWF 9-9:50a']"
GEO487 lecture,"['TR 8:30-9:50a']"
GEOG100 lecture,"['MW 9-9:50a']"
GEOG105 lecture,"['TR 1-1:50p']"
GEOG201 lecture,"['MWF 1-1:50p']"
GEOG323 lecture,"['MWF 11-11:50a']"
GEOG340 lecture,"['TR 8:30-9:50a']"
GEOG360 lecture,"['TR 12-1:20p']"
GEOG560 lecture,"['MWF 9-9:50a']"
GEOG580 lecture,"['MWF 10-10:50a']"
ATS201 lecture,"['MWF 9-9:50a']"
ATS301 lecture,"['MWF 10-10:50a']"
ATS310 lecture,"['MWF 11-11:50a']"
OC201 lecture,"['MWF 2-2:50p']"
OC430 lecture,"['MWF 2-2:50p']"
OC434 lecture,"['MWF 8-8:50a']"
OC512 lecture,"['T 10-11:50a']"
OEAS540 lecture,"['MWF 12-12:50p']"
BEE311 lecture,"['TR 8-9:50a']"
BEE512 lecture,"['MWF 11-11:50a']"
BEE542 lecture,"['TR 2-3:50p']"
ENGR201 lecture,"['TR 10-10:50a', 'TR 11-11:50a', 'TR 9-9:50a']"
ENGR203 lecture,"['TR 10-11:20a']"
ENGR211 lecture,"['MW 9-9:50a', 'MW 1-1:50p', 'MW 11-11:50a']"
ENGR212 lecture,"['MWF 9-9:50a']"
ENGR213 lecture,"['TR 12-1:20p']"
ENGR248 lecture,"['MW 1-1:50p']"
ENGR390 lecture,"['TR 2-3:20p']"
BIOE491 lecture,"['MW 12-1:50p']"
CBEE211 lecture,"['MF 12-12:50p', 'MF 1-1:50p']"
CBEE320 lecture,"['MW 2-2:50p']"
CBEE414 lecture,"['MW 4-4:50p']"
CHE311 lecture,"['MW 4-4:50p', 'MW 3-3:50p']"
CHE320 lecture,"['TR 8-8:50a']"
CHE331 lecture,"['MWF 8-8:50a', 'MWF 2-2:50p']"
CHE411 lecture,"['MWF 2-2:50p']"
CHE443 lecture,"['MWF 12-12:50p']"
CHE445 lecture,"['MW 6-6:50p']"
CHE525 lecture,"['TR 8-9:50a']"
CHE599 lecture,"['MWF 10-10:50a']"
ENVE421 lecture,"['MWF 9-9:50a']"
ENVE532 lecture,"['TR 10-11:50a']"
ENVE536 lecture,"['W 12-12:50p']"
CCE321 lecture,"['MWF 9-9:50a', 'MWF 11-11:50a']"
CE311 lecture,"['MWF 8-8:50a']"
CE361 lecture,"['MF 12-12:50p', '']"
CE373 lecture,"['MW 2-3:20p']"
CE381 lecture,"['MWF 10-10:50a']"
CE383 lecture,"['MWF 1-1:50p']"
CE412 lecture,"['TR 8-9:50a']"
CE420 lecture,"['TR 4-5:50p']"
CE481 lecture,"['MW 10-11:50a']"
CE491 lecture,"['MW 12-12:50p']"
CE520 lecture,"['TR 4-5:50p']"
CE531 lecture,"['TR 12-1:20p']"
CE590 lecture,"['TR 12-1:20p']"
CE630 lecture,"['MW 10-11:20a']"
CE640 lecture,"['T 10-11:50a']"
CEM383 lecture,"['MWF 2-2:50p']"
CEM431 lecture,"['TR 4-5:50p']"
