CH263 lecture,[]
CH271 lecture,[]
CH324 lecture,[]
CH331 lecture,['MWF 8-8:50a; R 7-8:20p', 'MWF 2-2:50p; R 7-8:20p']
CH334 lecture,['MWF 10-10:50a']
CH337 lecture,[]
CH361 lecture,['M 4-4:50p']
CH411 lecture,['TR 10-11:20a']
CH421 lecture,['TR 8:30-9:50a']
CH440 lecture,['MWF 9-9:50a']
CH461 lecture,['TR 12-1:20p', 'WF 11-11:50a']
CH511 lecture,['TR 2-3:20p']
CH535 lecture,['MWF 11-11:50a']
CH607 lecture,[]
CH616 lecture,['WF 4-5:20p']
CH630 lecture,['MWF 9-9:50a']
GS399 lecture,[]
BI101 lecture,['TR 10-10:50a']
BI204 lecture,[]
BI206 lecture,[]
BI211 lecture,[]
BI231 lecture,['MWF 9-9:50a']
BI241 lecture,[]
